Event,Description,Resource,Category,StartDate,EndDate
Event-0101,Mauris in aliquam sem. Sed do eiusmod tempor incididunt. Vivamus suscipit tortor eget felis.,etbwe,PTO,2024-08-19T15:00:00,2024-08-19T18:30:00
Event-0102,Vestibulum ante ipsum primis. Duis ultricies lacus sed turpis. Mauris in aliquam sem.,hrung,PTO,2024-01-28T13:00:00,2024-01-28T16:15:00
Event-0103,In faucibus orci luctus et. Ut labore et dolore magna aliqua. Pellentesque in ipsum id orci porta dapibus.,zidei,Event,2024-03-27T13:45:00,2024-03-27T15:15:00
Event-0104,Sed do eiusmod tempor incididunt. In faucibus orci luctus et. Curabitur non nulla sit amet.,zsxym,,2024-04-26T09:00:00,2024-04-26T12:45:00
Event-0105,Duis ultricies lacus sed turpis. Aliquam erat volutpat. Nunc non blandit massa.,deuzz,,2024-02-29T00:00:00,2024-03-03T00:00:00
Event-0106,Curabitur non nulla sit amet. Pellentesque in ipsum id orci porta dapibus. Pellentesque habitant morbi tristique. Sed do eiusmod tempor incididunt.,hlibp,PTO,2024-03-19T09:00:00,2024-03-19T11:00:00
Event-0107,Vestibulum ante ipsum primis. Proin eget tortor risus. Vivamus suscipit tortor eget felis.,twbce,Meeting,2024-06-05T09:45:00,2024-06-05T11:30:00
Event-0108,Curabitur non nulla sit amet. Vestibulum ante ipsum primis. Donec sollicitudin molestie malesuada.,xsiht,Event,2024-10-26T00:00:00,2024-10-30T00:00:00
Event-0109,Consectetur adipiscing elit. Sed do eiusmod tempor incididunt.,cirqy,Travel,2024-03-10T11:30:00,2024-03-10T12:45:00
Event-0110,Vestibulum ante ipsum primis. In faucibus orci luctus et. Consectetur adipiscing elit.,myttt,Event,2024-06-10T00:00:00,2024-06-11T00:00:00
Event-0111,Sed do eiusmod tempor incididunt. Proin eget tortor risus.,jwjdb,Event,2024-03-10T17:30:00,2024-03-10T18:30:00
Event-0112,Ut labore et dolore magna aliqua. Lorem ipsum dolor sit amet.,itzyj,Travel,2024-11-01T00:00:00,2024-11-06T00:00:00
Event-0113,In faucibus orci luctus et. Proin eget tortor risus.,lqmte,Meeting,2024-11-27T00:00:00,2024-11-30T00:00:00
Event-0114,Aliquam erat volutpat. Ut labore et dolore magna aliqua. In faucibus orci luctus et. Mauris in aliquam sem.,uanok,Meeting,2024-02-15T13:15:00,2024-02-15T15:00:00
Event-0115,In faucibus orci luctus et. Curabitur non nulla sit amet.,gmviq,Meeting,2024-05-24T14:30:00,2024-05-24T15:45:00
Event-0116,Mauris in aliquam sem. Donec sollicitudin molestie malesuada.,hrung,Meeting,2024-07-09T10:15:00,2024-07-09T11:30:00
Event-0117,Duis ultricies lacus sed turpis. Mauris in aliquam sem. Proin eget tortor risus.,hlibp,Event,2024-09-23T00:00:00,2024-09-24T00:00:00
Event-0118,In faucibus orci luctus et. Vestibulum ante ipsum primis.,vwvkn,Meeting,2024-08-03T00:00:00,2024-08-04T00:00:00
Event-0119,Duis ultricies lacus sed turpis. Nunc non blandit massa.,tqunh,Meeting,2024-07-23T16:30:00,2024-07-23T17:30:00
Event-0120,Mauris in aliquam sem. Vivamus suscipit tortor eget felis. Pellentesque habitant morbi tristique. Sed do eiusmod tempor incididunt.,xebgw,,2024-10-06T00:00:00,2024-10-10T00:00:00
Event-0121,Curabitur non nulla sit amet. Aliquam erat volutpat. Donec sollicitudin molestie malesuada. Consectetur adipiscing elit.,hlibp,Event,2024-10-09T10:15:00,2024-10-09T10:30:00
Event-0122,Duis ultricies lacus sed turpis. Vestibulum ante ipsum primis. Curabitur non nulla sit amet. Vivamus suscipit tortor eget felis.,xsiht,Travel,2024-11-09T13:15:00,2024-11-09T13:45:00
Event-0123,Lorem ipsum dolor sit amet. Vivamus suscipit tortor eget felis.,obams,PTO,2024-08-27T00:00:00,2024-08-29T00:00:00
Event-0124,Mauris in aliquam sem. Pellentesque in ipsum id orci porta dapibus. Nunc non blandit massa.,zhaou,Event,2024-06-02T00:00:00,2024-06-04T00:00:00
Event-0125,Nunc non blandit massa. Curabitur non nulla sit amet. Ut labore et dolore magna aliqua.,zidei,Meeting,2024-06-12T00:00:00,2024-06-16T00:00:00
Event-0126,Duis ultricies lacus sed turpis. Nunc non blandit massa.,,Meeting,2024-06-17T00:00:00,2024-06-20T00:00:00
Event-0127,Curabitur non nulla sit amet. Pellentesque habitant morbi tristique. Sed do eiusmod tempor incididunt. In faucibus orci luctus et.,ijyta,Travel,2024-07-09T15:00:00,2024-07-09T17:45:00
Event-0128,Vestibulum ante ipsum primis. Nunc non blandit massa. Lorem ipsum dolor sit amet.,cirqy,Travel,2024-08-25T00:00:00,2024-08-28T00:00:00
Event-0129,In faucibus orci luctus et. Lorem ipsum dolor sit amet. Curabitur non nulla sit amet. Proin eget tortor risus.,uanok,Travel,2024-07-11T12:00:00,2024-07-11T14:00:00
Event-0130,Pellentesque in ipsum id orci porta dapibus. Nunc non blandit massa. Curabitur non nulla sit amet. In faucibus orci luctus et.,eptjm,Travel,2024-03-06T00:00:00,2024-03-08T00:00:00
Event-0131,Sed do eiusmod tempor incididunt. Aliquam erat volutpat. Proin eget tortor risus. Vivamus suscipit tortor eget felis.,nzrvh,Meeting,2024-05-02T15:45:00,2024-05-02T16:15:00
Event-0132,Vivamus suscipit tortor eget felis. Donec sollicitudin molestie malesuada. Aliquam erat volutpat. Sed do eiusmod tempor incididunt.,mrmdj,Meeting,2024-05-27T00:00:00,2024-05-31T00:00:00
Event-0133,Consectetur adipiscing elit. Mauris in aliquam sem.,acfbm,PTO,2024-11-26T00:00:00,2024-11-27T00:00:00
Event-0134,Duis ultricies lacus sed turpis. Vestibulum ante ipsum primis. Pellentesque habitant morbi tristique. Sed do eiusmod tempor incididunt.,mrmdj,PTO,2024-04-21T11:30:00,2024-04-21T13:15:00
Event-0135,Aliquam erat volutpat. Lorem ipsum dolor sit amet. Consectetur adipiscing elit. Mauris in aliquam sem.,arruw,Event,2024-12-27T13:00:00,2024-12-27T14:15:00
Event-0136,Vivamus suscipit tortor eget felis. Duis ultricies lacus sed turpis. In faucibus orci luctus et.,abdrm,Event,2024-04-15T00:00:00,2024-04-18T00:00:00
Event-0137,Duis ultricies lacus sed turpis. Donec sollicitudin molestie malesuada. Consectetur adipiscing elit.,ylldz,Event,2024-02-21T17:45:00,2024-02-21T20:15:00
Event-0138,Nunc non blandit massa. Vivamus suscipit tortor eget felis. Consectetur adipiscing elit.,zhaou,Travel,2024-05-14T09:00:00,2024-05-14T12:30:00
Event-0139,Vivamus suscipit tortor eget felis. Donec sollicitudin molestie malesuada. In faucibus orci luctus et.,,Travel,2024-05-03T00:00:00,2024-05-07T00:00:00
Event-0140,Nunc non blandit massa. Pellentesque in ipsum id orci porta dapibus. In faucibus orci luctus et. Sed do eiusmod tempor incididunt.,eptjm,,2024-03-14T15:15:00,2024-03-14T16:00:00
Event-0141,Pellentesque in ipsum id orci porta dapibus. Lorem ipsum dolor sit amet. Vivamus suscipit tortor eget felis.,hlibp,PTO,2024-06-01T17:00:00,2024-06-01T19:30:00
Event-0142,Vivamus suscipit tortor eget felis. Donec sollicitudin molestie malesuada. Duis ultricies lacus sed turpis.,,Meeting,2024-07-10T14:45:00,2024-07-10T16:00:00
Event-0143,Curabitur non nulla sit amet. Lorem ipsum dolor sit amet. Consectetur adipiscing elit.,jwjdb,,2024-04-11T17:15:00,2024-04-11T19:00:00
Event-0144,Vestibulum ante ipsum primis. Donec sollicitudin molestie malesuada. Pellentesque in ipsum id orci porta dapibus. Proin eget tortor risus.,dynoh,Event,2024-06-24T14:00:00,2024-06-24T16:45:00
Event-0145,Curabitur non nulla sit amet. In faucibus orci luctus et.,evbmd,Meeting,2024-11-16T00:00:00,2024-11-19T00:00:00
Event-0146,Mauris in aliquam sem. Sed do eiusmod tempor incididunt. Consectetur adipiscing elit. Pellentesque in ipsum id orci porta dapibus.,gmviq,Travel,2024-02-29T13:00:00,2024-02-29T15:00:00
Event-0147,Ut labore et dolore magna aliqua. Duis ultricies lacus sed turpis.,qzjng,Event,2024-06-16T10:15:00,2024-06-16T11:00:00
Event-0148,Mauris in aliquam sem. Pellentesque habitant morbi tristique. Duis ultricies lacus sed turpis. Curabitur non nulla sit amet.,,Event,2024-09-24T08:45:00,2024-09-24T12:15:00
Event-0149,Vivamus suscipit tortor eget felis. Vestibulum ante ipsum primis. Pellentesque habitant morbi tristique.,ijyta,Travel,2024-02-08T10:00:00,2024-02-08T10:45:00
Event-0150,Lorem ipsum dolor sit amet. Mauris in aliquam sem.,nxppc,Travel,2024-11-16T13:00:00,2024-11-16T14:30:00
Event-0151,Aliquam erat volutpat. Duis ultricies lacus sed turpis. Vestibulum ante ipsum primis. Pellentesque in ipsum id orci porta dapibus.,zsxym,,2024-06-14T00:00:00,2024-06-18T00:00:00
Event-0152,Lorem ipsum dolor sit amet. Sed do eiusmod tempor incididunt.,eptjm,PTO,2024-01-15T15:00:00,2024-01-15T16:00:00
Event-0153,Mauris in aliquam sem. Lorem ipsum dolor sit amet. Aliquam erat volutpat.,vpzva,Event,2024-11-19T00:00:00,2024-11-22T00:00:00
Event-0154,Consectetur adipiscing elit. Ut labore et dolore magna aliqua. Mauris in aliquam sem.,xebgw,Meeting,2024-12-08T17:00:00,2024-12-08T18:00:00
Event-0155,Duis ultricies lacus sed turpis. Aliquam erat volutpat. Mauris in aliquam sem.,jnsin,PTO,2024-10-27T00:00:00,2024-10-30T00:00:00
Event-0156,Curabitur non nulla sit amet. Donec sollicitudin molestie malesuada. Nunc non blandit massa.,etbwe,Event,2024-02-09T00:00:00,2024-02-10T00:00:00
Event-0157,Ut labore et dolore magna aliqua. Sed do eiusmod tempor incididunt.,gmviq,Event,2024-07-03T17:00:00,2024-07-03T18:45:00
Event-0158,Sed do eiusmod tempor incididunt. Proin eget tortor risus. Vestibulum ante ipsum primis.,ijyta,PTO,2024-11-10T09:00:00,2024-11-10T12:30:00
Event-0159,Vestibulum ante ipsum primis. Donec sollicitudin molestie malesuada. Sed do eiusmod tempor incididunt. Duis ultricies lacus sed turpis.,,PTO,2024-11-25T00:00:00,2024-11-29T00:00:00
Event-0160,Nunc non blandit massa. Aliquam erat volutpat. Pellentesque in ipsum id orci porta dapibus. Pellentesque habitant morbi tristique.,chdqp,PTO,2024-03-14T00:00:00,2024-03-16T00:00:00
Event-0161,Donec sollicitudin molestie malesuada. Consectetur adipiscing elit.,bicfx,Event,2024-10-31T16:30:00,2024-10-31T16:45:00
Event-0162,Donec sollicitudin molestie malesuada. Ut labore et dolore magna aliqua. Pellentesque habitant morbi tristique.,wkdem,Event,2024-09-20T09:45:00,2024-09-20T13:15:00
Event-0163,In faucibus orci luctus et. Curabitur non nulla sit amet. Donec sollicitudin molestie malesuada.,vqbuo,PTO,2024-04-04T11:00:00,2024-04-04T14:00:00
Event-0164,Pellentesque in ipsum id orci porta dapibus. Consectetur adipiscing elit. Nunc non blandit massa.,zidei,Event,2024-01-03T08:30:00,2024-01-03T09:45:00
Event-0165,Nunc non blandit massa. Vivamus suscipit tortor eget felis.,ijyta,PTO,2024-09-22T15:15:00,2024-09-22T19:00:00
Event-0166,Pellentesque in ipsum id orci porta dapibus. Aliquam erat volutpat. Lorem ipsum dolor sit amet. Proin eget tortor risus.,zhaou,,2024-11-06T15:00:00,2024-11-06T16:15:00
Event-0167,Mauris in aliquam sem. Aliquam erat volutpat. Vivamus suscipit tortor eget felis.,,Travel,2024-12-25T17:45:00,2024-12-25T21:15:00
Event-0168,In faucibus orci luctus et. Curabitur non nulla sit amet. Mauris in aliquam sem. Sed do eiusmod tempor incididunt.,bicfx,Travel,2024-05-23T09:15:00,2024-05-23T10:15:00
Event-0169,In faucibus orci luctus et. Aliquam erat volutpat.,dzpvb,Travel,2024-09-18T11:15:00,2024-09-18T13:00:00
Event-0170,Duis ultricies lacus sed turpis. Pellentesque in ipsum id orci porta dapibus. Donec sollicitudin molestie malesuada.,myttt,Event,2024-10-29T08:00:00,2024-10-29T10:15:00
Event-0171,Aliquam erat volutpat. Sed do eiusmod tempor incididunt.,twbce,Travel,2024-08-20T10:15:00,2024-08-20T14:15:00
Event-0172,Pellentesque habitant morbi tristique. Curabitur non nulla sit amet.,hlibp,PTO,2024-10-14T12:45:00,2024-10-14T16:15:00
Event-0173,Pellentesque habitant morbi tristique. Ut labore et dolore magna aliqua.,,Event,2024-01-12T16:15:00,2024-01-12T17:30:00
Event-0174,In faucibus orci luctus et. Pellentesque in ipsum id orci porta dapibus. Donec sollicitudin molestie malesuada. Ut labore et dolore magna aliqua.,vqbuo,PTO,2024-11-27T14:30:00,2024-11-27T17:15:00
Event-0175,Aliquam erat volutpat. Proin eget tortor risus.,ylldz,Event,2024-09-30T13:15:00,2024-09-30T15:45:00
Event-0176,Donec sollicitudin molestie malesuada. Mauris in aliquam sem. Pellentesque in ipsum id orci porta dapibus.,evbmd,PTO,2024-03-10T00:00:00,2024-03-12T00:00:00
Event-0177,Lorem ipsum dolor sit amet. Consectetur adipiscing elit. In faucibus orci luctus et.,vqbuo,Travel,2024-02-09T00:00:00,2024-02-10T00:00:00
Event-0178,Nunc non blandit massa. Aliquam erat volutpat. Pellentesque habitant morbi tristique. Duis ultricies lacus sed turpis.,arruw,PTO,2024-08-08T16:00:00,2024-08-08T17:30:00
Event-0179,Donec sollicitudin molestie malesuada. Ut labore et dolore magna aliqua. Nunc non blandit massa.,xebgw,Travel,2024-06-12T00:00:00,2024-06-17T00:00:00
Event-0180,Nunc non blandit massa. Proin eget tortor risus. Duis ultricies lacus sed turpis. Lorem ipsum dolor sit amet.,,Travel,2024-03-11T11:15:00,2024-03-11T15:00:00
Event-0181,Duis ultricies lacus sed turpis. Donec sollicitudin molestie malesuada. Pellentesque in ipsum id orci porta dapibus.,itzyj,Meeting,2024-10-29T08:30:00,2024-10-29T09:30:00
Event-0182,Vivamus suscipit tortor eget felis. Aliquam erat volutpat. Duis ultricies lacus sed turpis. Lorem ipsum dolor sit amet.,qzjng,Event,2024-02-05T00:00:00,2024-02-06T00:00:00
Event-0183,Donec sollicitudin molestie malesuada. Vivamus suscipit tortor eget felis. Proin eget tortor risus. Ut labore et dolore magna aliqua.,zomdf,PTO,2024-08-28T10:30:00,2024-08-28T12:00:00
Event-0184,Lorem ipsum dolor sit amet. Mauris in aliquam sem. Duis ultricies lacus sed turpis.,myttt,PTO,2024-04-12T00:00:00,2024-04-15T00:00:00
Event-0185,Lorem ipsum dolor sit amet. Curabitur non nulla sit amet.,twbce,Event,2024-12-30T13:15:00,2024-12-30T14:00:00
Event-0186,Consectetur adipiscing elit. Mauris in aliquam sem. Pellentesque habitant morbi tristique. Pellentesque in ipsum id orci porta dapibus.,zsxym,,2024-09-15T00:00:00,2024-09-17T00:00:00
Event-0187,Mauris in aliquam sem. Aliquam erat volutpat.,lgjtf,Travel,2024-01-28T00:00:00,2024-02-02T00:00:00
Event-0188,Donec sollicitudin molestie malesuada. Curabitur non nulla sit amet. Proin eget tortor risus. Mauris in aliquam sem.,acfbm,PTO,2024-05-10T08:00:00,2024-05-10T11:45:00
Event-0189,Curabitur non nulla sit amet. Consectetur adipiscing elit. Proin eget tortor risus.,hlibp,Travel,2024-02-05T16:45:00,2024-02-05T17:45:00
Event-0190,Curabitur non nulla sit amet. Pellentesque in ipsum id orci porta dapibus.,zsxym,Travel,2024-06-22T16:00:00,2024-06-22T17:45:00
Event-0191,Mauris in aliquam sem. Vivamus suscipit tortor eget felis. Pellentesque in ipsum id orci porta dapibus.,mrmdj,PTO,2024-07-27T11:15:00,2024-07-27T12:45:00
Event-0192,Ut labore et dolore magna aliqua. Proin eget tortor risus. Lorem ipsum dolor sit amet.,abdrm,,2024-02-16T17:45:00,2024-02-16T20:15:00
Event-0193,Mauris in aliquam sem. In faucibus orci luctus et.,nxppc,Meeting,2024-05-25T09:45:00,2024-05-25T12:30:00
Event-0194,Duis ultricies lacus sed turpis. Ut labore et dolore magna aliqua.,,Event,2024-10-11T00:00:00,2024-10-12T00:00:00
Event-0195,Sed do eiusmod tempor incididunt. Aliquam erat volutpat. Proin eget tortor risus. Pellentesque in ipsum id orci porta dapibus.,deuzz,PTO,2024-09-22T00:00:00,2024-09-26T00:00:00
Event-0196,Aliquam erat volutpat. Ut labore et dolore magna aliqua. Duis ultricies lacus sed turpis. Nunc non blandit massa.,cirqy,Event,2024-02-19T09:15:00,2024-02-19T09:45:00
Event-0197,Pellentesque in ipsum id orci porta dapibus. Lorem ipsum dolor sit amet. Consectetur adipiscing elit.,,PTO,2024-12-13T14:00:00,2024-12-13T16:00:00
Event-0198,Mauris in aliquam sem. Vivamus suscipit tortor eget felis.,jwjdb,,2024-08-27T10:45:00,2024-08-27T14:45:00
Event-0199,Ut labore et dolore magna aliqua. Donec sollicitudin molestie malesuada. Mauris in aliquam sem. Curabitur non nulla sit amet.,mrmdj,Travel,2024-08-25T00:00:00,2024-08-28T00:00:00
Event-0200,Pellentesque habitant morbi tristique. Proin eget tortor risus. Vivamus suscipit tortor eget felis.,obams,Travel,2024-12-22T10:45:00,2024-12-22T13:30:00
